PLAYER_ID,Player,Team,Position
202710,Jimmy Butler III,Golden State Warriors,F
1630611,Gui Santos,Golden State Warriors,F
201143,Al Horford,Golden State Warriors,C-F
1642366,Quinten Post,Golden State Warriors,C
1642893,Alex Toohey,Golden State Warriors,F
203110,Draymond Green,Golden State Warriors,F
201939,Stephen Curry,Golden State Warriors,G
1631218,Trayce Jackson-Davis,Golden State Warriors,F
1642050,Jackson Rowe,Golden State Warriors,F
1630311,Pat Spencer,Golden State Warriors,G
1628988,Aaron Holiday,Houston Rockets,G
1641708,Amen Thompson,Houston Rockets,G-F
1627827,Dorian Finney-Smith,Houston Rockets,F
1627832,Fred VanVleet,Houston Rockets,G
201142,Kevin Durant,Houston Rockets,F
1630256,Jae'Sean Tate,Houston Rockets,F
1630284,Kevon Harris,Houston Rockets,G
1631095,Jabari Smith Jr.,Houston Rockets,F
203500,Steven Adams,Houston Rockets,C
1642263,Reed Sheppard,Houston Rockets,G
1631106,Tari Eason,Houston Rockets,F
1631120,JD Davison,Houston Rockets,G
1629006,Josh Okogie,Houston Rockets,G
1642384,Isaiah Crawford,Houston Rockets,F
1630578,Alperen Sengun,Houston Rockets,C
203991,Clint Capela,Houston Rockets,C
201145,Jeff Green,Houston Rockets,F
203078,Bradley Beal,Los Angeles Clippers,G
201935,James Harden,Los Angeles Clippers,G
202695,Kawhi Leonard,Los Angeles Clippers,F
101108,Chris Paul,Los Angeles Clippers,G
1642920,Kobe Sanders,Los Angeles Clippers,G
1627884,Derrick Jones Jr.,Los Angeles Clippers,F
1627739,Kris Dunn,Los Angeles Clippers,G
203992,Bogdan Bogdanović,Los Angeles Clippers,G
201572,Brook Lopez,Los Angeles Clippers,C
1641757,Jordan Miller,Los Angeles Clippers,G
1642353,Cam Christie,Los Angeles Clippers,G
1642949,Yanic Konan Niederhäuser,Los Angeles Clippers,C
1643141,Jahmyl Telfort,Los Angeles Clippers,G
1628381,John Collins,Los Angeles Clippers,F-C
1641738,Kobe Brown,Los Angeles Clippers,F
201587,Nicolas Batum,Los Angeles Clippers,G-F
1627826,Ivica Zubac,Los Angeles Clippers,C
1642876,Adou Thiero,Los Angeles Lakers,G
1629020,Jarred Vanderbilt,Los Angeles Lakers,F
1641733,Nick Smith Jr.,Los Angeles Lakers,G
1642261,Dalton Knecht,Los Angeles Lakers,F
1629028,Deandre Ayton,Los Angeles Lakers,C
1629216,Gabe Vincent,Los Angeles Lakers,G
1642355,Bronny James,Los Angeles Lakers,G
1631132,Christian Koloko,Los Angeles Lakers,C
1629637,Jaxson Hayes,Los Angeles Lakers,C-F
1631222,Jake LaRavia,Los Angeles Lakers,F
1628467,Maxi Kleber,Los Angeles Lakers,F
1630559,Austin Reaves,Los Angeles Lakers,G
2544,LeBron James,Los Angeles Lakers,F
1629060,Rui Hachimura,Los Angeles Lakers,F
1643024,Chris Mañon,Los Angeles Lakers,G
203935,Marcus Smart,Los Angeles Lakers,G
1629029,Luka Dončić,Los Angeles Lakers,F-G
1642066,Myron Gardner,Miami Heat,F
1631323,Simone Fontecchio,Miami Heat,F
1626179,Terry Rozier,Miami Heat,G
1631107,Nikola Jović,Miami Heat,F
1642276,Kel'el Ware,Miami Heat,C
1641796,Pelle Larsson,Miami Heat,G
1642443,Jahmir Young,Miami Heat,G
1631170,Jaime Jaquez Jr.,Miami Heat,G
1630696,Dru Smith,Miami Heat,G
1628389,Bam Adebayo,Miami Heat,C-F
1629639,Tyler Herro,Miami Heat,G
1642352,Keshad Johnson,Miami Heat,F
203952,Andrew Wiggins,Miami Heat,F
1626181,Norman Powell,Miami Heat,G
1642857,Kasparas Jakučionis,Miami Heat,G
1630558,Davion Mitchell,Miami Heat,G
1642884,Vladislav Goldin,Miami Heat,C
1630828,Alex Antetokounmpo,Milwaukee Bucks,F
1630579,Jericho Sims,Milwaukee Bucks,C
1626167,Myles Turner,Milwaukee Bucks,C-F
1629018,Gary Trent Jr.,Milwaukee Bucks,G
1629645,Kevin Porter Jr.,Milwaukee Bucks,G-F
1626171,Bobby Portis,Milwaukee Bucks,F
203914,Gary Harris,Milwaukee Bucks,G
1627752,Taurean Prince,Milwaukee Bucks,F
1631157,Ryan Rollins,Milwaukee Bucks,G
1629599,Amir Coffey,Milwaukee Bucks,G-F
1628398,Kyle Kuzma,Milwaukee Bucks,F
1641813,Mark Sears,Milwaukee Bucks,G
1631260,AJ Green,Milwaukee Bucks,G
203507,Giannis Antetokounmpo,Milwaukee Bucks,F
1631250,Pete Nance,Milwaukee Bucks,F
203648,Thanasis Antetokounmpo,Milwaukee Bucks,F
1641748,Andre Jackson Jr.,Milwaukee Bucks,G
1630175,Cole Anthony,Milwaukee Bucks,G
1628978,Donte DiVincenzo,Minnesota Timberwolves,G
1630545,Terrence Shannon Jr.,Minnesota Timberwolves,G-F
1630183,Jaden McDaniels,Minnesota Timberwolves,F
1642265,Rob Dillingham,Minnesota Timberwolves,G
1630162,Anthony Edwards,Minnesota Timberwolves,G
204060,Joe Ingles,Minnesota Timberwolves,F-G
1630538,Bones Hyland,Minnesota Timberwolves,G
201144,Mike Conley,Minnesota Timberwolves,G
1629675,Naz Reid,Minnesota Timberwolves,C-F
1642866,Joan Beringer,Minnesota Timberwolves,F
1641740,Jaylen Clark,Minnesota Timberwolves,G
1642402,Enrique Freeman,Minnesota Timberwolves,F
203497,Rudy Gobert,Minnesota Timberwolves,C
203944,Julius Randle,Minnesota Timberwolves,F-C
1630548,Johnny Juzang,Minnesota Timberwolves,G
1631159,Leonard Miller,Minnesota Timberwolves,F
1642911,Rocco Zikarsky,Minnesota Timberwolves,C
1630533,Ziaire Williams,Brooklyn Nets,F
1642874,Danny Wolf,Brooklyn Nets,F
1642962,Drake Powell,Brooklyn Nets,G-F
1629312,Haywood Highsmith,Brooklyn Nets,F
1642856,Egor Dëmin,Brooklyn Nets,G
1630604,E.J. Liddell,Brooklyn Nets,F
1630623,Tyson Etienne,Brooklyn Nets,G
1631213,Tyrese Martin,Brooklyn Nets,F
1629611,Terance Mann,Brooklyn Nets,G-F
1629008,Michael Porter Jr.,Brooklyn Nets,F
1630549,Day'Ron Sharpe,Brooklyn Nets,C
1641730,Noah Clowney,Brooklyn Nets,F-C
1630592,Jalen Wilson,Brooklyn Nets,F
1630560,Cam Thomas,Brooklyn Nets,G
1629651,Nic Claxton,Brooklyn Nets,C
1642879,Ben Saraf,Brooklyn Nets,G
1642849,Nolan Traore,Brooklyn Nets,G
203903,Jordan Clarkson,New York Knicks,G
1630540,Miles McBride,New York Knicks,G
1628404,Josh Hart,New York Knicks,G
1642359,Pacôme Dadiet,New York Knicks,F
1628384,OG Anunoby,New York Knicks,F-G
1641755,Kevin McCullar Jr.,New York Knicks,G
1628973,Jalen Brunson,New York Knicks,G
1642278,Tyler Kolek,New York Knicks,G
1641787,Tosan Evbuomwan,New York Knicks,F
1629011,Mitchell Robinson,New York Knicks,C-F
1628969,Mikal Bridges,New York Knicks,G-F
1627824,Guerschon Yabusele,New York Knicks,F
1626157,Karl-Anthony Towns,New York Knicks,C-F
1629013,Landry Shamet,New York Knicks,G
1641998,Trey Jemison III,New York Knicks,C
1642885,Mohamed Diawara,New York Knicks,F
1630574,Ariel Hukporti,New York Knicks,C
1641710,Anthony Black,Orlando Magic,G
1628371,Jonathan Isaac,Orlando Magic,F
1626145,Tyus Jones,Orlando Magic,G
1630217,Desmond Bane,Orlando Magic,G
1630591,Jalen Suggs,Orlando Magic,G
1631094,Paolo Banchero,Orlando Magic,F
1631288,Jamal Cain,Orlando Magic,F
1642859,Jase Richardson,Orlando Magic,G
1641724,Jett Howard,Orlando Magic,G
1630658,Colin Castleton,Orlando Magic,C
1629021,Moritz Wagner,Orlando Magic,F-C
1631115,Orlando Robinson,Orlando Magic,C
1630532,Franz Wagner,Orlando Magic,F
1641783,Tristan da Silva,Orlando Magic,F
1628976,Wendell Carter Jr.,Orlando Magic,C-F
1629048,Goga Bitadze,Orlando Magic,C-F
1642869,Noah Penda,Orlando Magic,G-F
1630169,Tyrese Haliburton,Indiana Pacers,G
1631097,Bennedict Mathurin,Indiana Pacers,G-F
1630167,Obi Toppin,Indiana Pacers,F
1629614,Andrew Nembhard,Indiana Pacers,G-F
1643007,Taelon Peter,Indiana Pacers,G
1641716,Jarace Walker,Indiana Pacers,F
1642880,Kam Jones,Indiana Pacers,G
204456,T.J. McConnell,Indiana Pacers,G
1642484,RayJ Dennis,Indiana Pacers,G
1630164,James Wiseman,Indiana Pacers,C
1642277,Johnny Furphy,Indiana Pacers,G
1628396,Tony Bradley,Indiana Pacers,C-F
1630543,Isaiah Jackson,Indiana Pacers,F
1630174,Aaron Nesmith,Indiana Pacers,G-F
1641767,Ben Sheppard,Indiana Pacers,G
1631245,Quenton Jackson,Indiana Pacers,G
1630643,Jay Huff,Indiana Pacers,C
1627783,Pascal Siakam,Indiana Pacers,F
1630178,Tyrese Maxey,Philadelphia 76ers,G
203083,Andre Drummond,Philadelphia 76ers,C
1629656,Quentin Grimes,Philadelphia 76ers,G
200768,Kyle Lowry,Philadelphia 76ers,G
202331,Paul George,Philadelphia 76ers,F
1626162,Kelly Oubre Jr.,Philadelphia 76ers,F-G
1642348,Justin Edwards,Philadelphia 76ers,F
1630570,Trendon Watford,Philadelphia 76ers,G-F
1642272,Jared McCain,Philadelphia 76ers,G
203954,Joel Embiid,Philadelphia 76ers,C-F
